37      111     0.80    2.5     0.00    30
38      134     0.67    2.1     0.00    20
39      160     0.68    2.2     0.00    20
40      181     0.57    1.9     0.00    20
41      207     0.49    1.7     3.7     30
42      228     0.56    2.0     4.4     40     
43      253     0.41    1.5     3.3     40
44      281     0.39    1.5     3.3     40
45      308     0.37    1.5     3.4     30
46      335     0.30    1.2     2.8     25
47      367     0.38    1.4     3.2     20
48      404     0.35    1.2     2.7     25
49      443     0.42    1.3     2.8     30
50      485     0.42    1.2     2.4     25
51      528     0.55    1.4     2.7     25
52      572     0.73    1.7     3.1     25
53      620     0.89    1.9     3.3     30
54      672     1.00    2.0     3.5     40
55      726     1.27    2.4     3.8     40
56      781     1.45    2.5     4.2     30
57      832     1.55    2.5     4.7     40
58      884     1.51    2.4     4.4     20
59      931     1.38    2.2     4.1     20     
60      978     1.12    1.8     3.9     20
61      1027    1.04    1.7     3.5     30
62      1081    0.96    1.6     3.2     25
63      1131    0.89    1.5     3.0     30
64      1186    0.81    1.4     2.8     30
65      1242    0.68    1.2     2.6     25
66      1295    0.61    1.1     2.4     20
67      1351    0.53    1.0     2.2     20
68      1409    0.45    0.9     2.0     20
69      1468    0.38    0.8     1.8     30
70      1527    0.32    0.7     1.3     30
71      1589    0.25    0.6     1.4     30
72      1662    0.20    0.5     1.2     40
73      1735    0.18    0.5     1.2     40
74      1810    0.16    0.5     1.2     40

